timestamp,cycle,cpu_algorithm,energy_governor,deadlock_risk,memory_pressure,disk_pattern,anomaly_count,cpu_percent,mem_percent,alerts,overrides
2026-04-05T20:55:03.151494,0,PRIORITY,adaptive,LOW,LOW,read_heavy,27,13.47,16.5,['27 anomalous process(es) detected'],['CPU→PRIORITY (security override)']
2026-04-05T20:55:04.488681,1,PRIORITY,adaptive,LOW,LOW,read_heavy,43,10.86,17.6,['43 anomalous process(es) detected'],['CPU→PRIORITY (security override)']
2026-04-05T20:55:06.553458,2,PRIORITY,adaptive,LOW,LOW,read_heavy,39,12.07,17.6,['39 anomalous process(es) detected'],['CPU→PRIORITY (security override)']
2026-04-05T20:55:08.024792,3,PRIORITY,adaptive,LOW,LOW,read_heavy,38,10.64,17.7,['38 anomalous process(es) detected'],['CPU→PRIORITY (security override)']
2026-04-05T20:55:09.537947,4,PRIORITY,adaptive,LOW,LOW,read_heavy,39,11.31,17.7,['39 anomalous process(es) detected'],['CPU→PRIORITY (security override)']
2026-04-05T20:55:11.220386,5,PRIORITY,adaptive,LOW,LOW,read_heavy,39,10.49,17.7,['39 anomalous process(es) detected'],['CPU→PRIORITY (security override)']
2026-04-05T20:55:12.898523,6,PRIORITY,adaptive,LOW,LOW,read_heavy,38,10.63,17.7,['38 anomalous process(es) detected'],['CPU→PRIORITY (security override)']
2026-04-05T20:55:14.156652,7,PRIORITY,adaptive,LOW,LOW,read_heavy,38,10.64,17.7,['38 anomalous process(es) detected'],['CPU→PRIORITY (security override)']
2026-04-05T20:55:15.664316,8,PRIORITY,adaptive,LOW,LOW,read_heavy,38,10.73,17.7,['38 anomalous process(es) detected'],['CPU→PRIORITY (security override)']
2026-04-05T20:55:17.305964,9,PRIORITY,adaptive,LOW,LOW,read_heavy,40,13.99,16.9,['40 anomalous process(es) detected'],['CPU→PRIORITY (security override)']
